CustomerID,Frequency,Monetary,PurchaseQty,ReturnMonetary,ReturnQty,ReturnRate,Recency,Cluster
17850.0,34.0,5288.63,1733.0,102.58,40.0,0.022560631697687534,372.0,-1
13047.0,10.0,3079.1,1391.0,158.44,36.0,0.025227750525578137,32.0,0
12583.0,15.0,7187.34,5060.0,94.03999999999999,51.0,0.0099784777929955,3.0,0
13748.0,5.0,948.25,439.0,0.0,0.0,0.0,96.0,0
15100.0,3.0,635.1,80.0,240.89999999999998,22.0,0.21568627450980393,334.0,-1
15291.0,15.0,4596.51,2103.0,71.79,29.0,0.013602251407129456,26.0,0
14688.0,21.0,5107.38,3621.0,523.49,399.0,0.09925373134328358,8.0,0
17809.0,12.0,4627.62,2057.0,784.29,42.0,0.020009528346831826,16.0,0
15311.0,91.0,59419.340000000004,38194.0,1348.56,474.0,0.012258197993172648,1.0,-1
14527.0,55.0,7711.379999999999,2089.0,797.44,40.0,0.018788163457022077,3.0,0
16098.0,7.0,2005.63,613.0,0.0,0.0,0.0,88.0,0
18074.0,1.0,489.6,190.0,0.0,0.0,0.0,374.0,0
17420.0,3.0,598.83,265.0,0.0,0.0,0.0,50.0,0
16029.0,63.0,50992.61,40208.0,30032.23,8060.0,0.16698433744924174,39.0,-1
16250.0,2.0,389.44,208.0,0.0,0.0,0.0,261.0,0
12431.0,15.0,6416.389999999999,2918.0,71.06,50.0,0.016846361185983826,36.0,0
17511.0,31.0,88125.38,64549.0,2937.0,1537.0,0.023257573464879097,3.0,-1
17548.0,1.0,-141.48000000000002,58.0,244.78,190.0,0.7661290322580645,234.0,-1
13705.0,3.0,711.86,363.0,0.0,0.0,0.0,8.0,0
13747.0,1.0,79.6,8.0,0.0,0.0,0.0,374.0,0
13408.0,62.0,27487.41,16232.0,629.63,113.0,0.006913429183236464,2.0,-1
13767.0,37.0,16945.71,7322.0,274.65000000000003,64.0,0.008665041971297048,2.0,0
17924.0,7.0,2894.33,1160.0,68.17,19.0,0.016115351993214587,12.0,0
13448.0,6.0,3465.67,1660.0,73.7,22.0,0.013079667063020214,17.0,0
15862.0,4.0,832.88,585.0,0.0,0.0,0.0,8.0,0
15513.0,19.0,14520.080000000002,5709.0,238.14000000000001,164.0,0.027924399795675122,33.0,0
12791.0,1.0,192.60000000000002,97.0,0.0,0.0,0.0,374.0,0
16218.0,7.0,3054.87,2088.0,29.810000000000002,11.0,0.005240590757503573,30.0,0
14045.0,4.0,1659.75,535.0,0.0,0.0,0.0,109.0,0
14307.0,6.0,2995.72,2058.0,0.0,0.0,0.0,89.0,0
17908.0,1.0,243.28,173.0,0.0,0.0,0.0,374.0,0
17920.0,17.0,4204.1,2516.0,0.0,0.0,0.0,4.0,0
12838.0,2.0,683.13,359.0,0.0,0.0,0.0,34.0,0
13255.0,2.0,390.65999999999997,177.0,8.850000000000001,3.0,0.016666666666666666,9.0,0
16583.0,1.0,233.45,111.0,0.0,0.0,0.0,374.0,0
18085.0,2.0,689.95,265.0,0.0,0.0,0.0,330.0,0
13758.0,7.0,3190.55,1844.0,0.0,0.0,0.0,12.0,0
13694.0,50.0,62653.100000000006,63312.0,2386.52,1509.0,0.023279492756976907,4.0,-1
15983.0,4.0,1475.02,892.0,0.0,0.0,0.0,22.0,0
14849.0,25.0,7904.28,5694.0,26.259999999999998,38.0,0.006629448709002094,22.0,0
17968.0,1.0,277.35,160.0,0.0,0.0,0.0,374.0,0
16210.0,18.0,21086.3,7559.0,0.0,0.0,0.0,2.0,0
17897.0,3.0,541.1,229.0,25.5,6.0,0.02553191489361702,173.0,0
17377.0,20.0,3925.92,2076.0,175.0,1.0,0.00048146364949446316,24.0,0
16552.0,2.0,379.73,219.0,0.0,0.0,0.0,243.0,0
17181.0,2.0,239.92000000000002,241.0,0.0,0.0,0.0,57.0,0
17951.0,3.0,990.84,616.0,17.700000000000003,6.0,0.00964630225080386,40.0,0
14729.0,1.0,313.49,197.0,0.0,0.0,0.0,374.0,0
12748.0,210.0,29072.100000000002,25748.0,4647.63,1538.0,0.05636590192772851,1.0,-1
15012.0,2.0,423.04,231.0,0.0,0.0,0.0,54.0,0
12868.0,6.0,1607.0600000000002,928.0,0.0,0.0,0.0,186.0,0
17572.0,4.0,226.75000000000003,95.0,0.0,0.0,0.0,71.0,0
14078.0,6.0,1049.37,310.0,0.0,0.0,0.0,102.0,0
14001.0,3.0,2030.3300000000002,962.0,12.75,3.0,0.0031088082901554403,46.0,0
12662.0,11.0,3817.0800000000004,2058.0,32.699999999999996,18.0,0.008670520231213872,1.0,0
15525.0,3.0,811.02,416.0,14.899999999999999,2.0,0.004784688995215311,2.0,0
14237.0,1.0,161.0,38.0,0.0,0.0,0.0,373.0,0
17905.0,4.0,800.24,407.0,0.0,0.0,0.0,71.0,0
15485.0,3.0,2575.0,1306.0,0.0,0.0,0.0,30.0,0
12433.0,7.0,13375.87,11071.0,0.0,0.0,0.0,1.0,0
16955.0,4.0,493.66999999999996,266.0,25.0,20.0,0.06993006993006994,185.0,0
15350.0,1.0,115.65,51.0,0.0,0.0,0.0,373.0,0
15605.0,5.0,1198.23,441.0,0.0,0.0,0.0,36.0,0
18144.0,12.0,2888.75,1343.0,0.0,0.0,0.0,8.0,0
15922.0,1.0,363.6,138.0,5.9,2.0,0.014285714285714285,373.0,0
14594.0,2.0,379.83,185.0,0.0,0.0,0.0,7.0,0
15165.0,1.0,487.75,160.0,0.0,0.0,0.0,373.0,0
14911.0,201.0,132572.62,80515.0,11252.44,3335.0,0.03977340488968396,1.0,-1
16456.0,5.0,2158.37,1148.0,0.0,0.0,0.0,99.0,0
17841.0,124.0,40340.78,23071.0,650.79,206.0,0.008849937706749151,2.0,-1
12472.0,7.0,6229.48,4148.0,342.63,128.0,0.029934518241347054,32.0,0
17346.0,15.0,2611.58,1657.0,64.98,18.0,0.010746268656716417,4.0,0
17643.0,1.0,101.55,71.0,0.0,0.0,0.0,373.0,0
17873.0,5.0,1764.3600000000001,1047.0,94.80000000000001,48.0,0.043835616438356165,80.0,0
13093.0,8.0,7741.47,3961.0,91.0,18.0,0.004523749685850716,276.0,0
12921.0,37.0,16389.74,9526.0,197.35,72.0,0.007501562825588664,9.0,0
13468.0,37.0,5656.75,2589.0,48.22,8.0,0.0030804774740084712,2.0,0
17760.0,2.0,287.59,239.0,0.0,0.0,0.0,22.0,0
